high-freq,neg_res,non_res
134,100.0,95.45454545454545
133,100.0,95.45454545454545
132,100.0,95.45454545454545
131,100.0,95.45454545454545
130,100.0,95.45454545454545
129,100.0,95.45454545454545
128,100.0,95.45454545454545
127,100.0,95.45454545454545
126,100.0,95.45454545454545
125,100.0,95.45454545454545
124,100.0,95.45454545454545
123,100.0,95.45454545454545
122,100.0,95.45454545454545
121,100.0,95.45454545454545
120,100.0,95.45454545454545
119,100.0,95.45454545454545
118,100.0,95.45454545454545
117,100.0,95.45454545454545
116,100.0,95.45454545454545
115,100.0,95.45454545454545
113,100.0,95.45454545454545
112,100.0,95.45454545454545
110,100.0,95.45454545454545
109,100.0,95.45454545454545
108,100.0,95.45454545454545
107,100.0,92.04545454545455
106,100.0,92.04545454545455
105,100.0,92.04545454545455
104,100.0,92.04545454545455
103,100.0,92.04545454545455
102,100.0,92.04545454545455
101,100.0,92.04545454545455
100,100.0,92.04545454545455
99,100.0,92.04545454545455
98,100.0,92.04545454545455
97,100.0,92.04545454545455
96,100.0,92.04545454545455
95,100.0,92.04545454545455
94,100.0,92.04545454545455
93,100.0,92.04545454545455
92,100.0,92.04545454545455
91,100.0,92.04545454545455
90,100.0,92.04545454545455
89,100.0,92.04545454545455
88,100.0,92.04545454545455
87,100.0,89.77272727272727
86,100.0,89.77272727272727
84,100.0,90.9090909090909
83,100.0,90.9090909090909
82,100.0,90.9090909090909
81,100.0,90.9090909090909
80,100.0,89.77272727272727
79,100.0,89.77272727272727
78,100.0,89.77272727272727
77,100.0,89.77272727272727
76,100.0,89.77272727272727
75,100.0,88.63636363636364
74,100.0,88.63636363636364
73,100.0,88.63636363636364
72,100.0,88.63636363636364
71,100.0,88.63636363636364
70,100.0,88.63636363636364
69,100.0,88.63636363636364
68,100.0,88.63636363636364
67,100.0,88.63636363636364
66,100.0,88.63636363636364
65,100.0,88.63636363636364
64,100.0,88.63636363636364
63,100.0,88.63636363636364
62,100.0,88.63636363636364
61,100.0,88.63636363636364
60,100.0,88.63636363636364
59,100.0,88.63636363636364
58,100.0,88.63636363636364
57,100.0,89.77272727272727
56,97.8021978021978,88.63636363636364
55,97.8021978021978,88.63636363636364
54,97.8021978021978,88.63636363636364
53,97.8021978021978,88.63636363636364
52,97.8021978021978,88.63636363636364
51,97.8021978021978,88.63636363636364
50,97.8021978021978,88.63636363636364
49,97.8021978021978,88.63636363636364
48,97.8021978021978,88.63636363636364
47,97.8021978021978,88.63636363636364
46,97.8021978021978,88.63636363636364
45,97.8021978021978,88.63636363636364
44,97.8021978021978,87.5
43,97.8021978021978,87.5
42,96.7032967032967,87.5
41,95.6043956043956,86.36363636363636
40,95.6043956043956,86.36363636363636
39,95.6043956043956,86.36363636363636
38,95.6043956043956,86.36363636363636
37,95.6043956043956,86.36363636363636
36,95.6043956043956,87.5
35,94.5054945054945,86.36363636363636
34,93.4065934065934,87.5
33,93.4065934065934,87.5
32,93.4065934065934,87.5
31,93.4065934065934,86.36363636363636
30,93.4065934065934,86.36363636363636
29,93.4065934065934,86.36363636363636
28,93.4065934065934,86.36363636363636
27,92.3076923076923,86.36363636363636
26,92.3076923076923,86.36363636363636
25,92.3076923076923,86.36363636363636
24,92.3076923076923,86.36363636363636
23,92.3076923076923,85.22727272727273
22,92.3076923076923,85.22727272727273
21,91.20879120879121,84.0909090909091
20,91.20879120879121,84.0909090909091
19,91.20879120879121,84.0909090909091
18,91.20879120879121,84.0909090909091
17,90.10989010989012,84.0909090909091
16,89.01098901098901,82.95454545454545
15,86.81318681318682,82.95454545454545
14,85.71428571428571,81.81818181818183
13,84.61538461538461,81.81818181818183
12,84.61538461538461,80.68181818181817
11,84.61538461538461,77.27272727272727
10,84.61538461538461,76.13636363636364
9,81.31868131868131,75.0
8,80.21978021978022,73.86363636363636
7,79.12087912087912,69.31818181818183
6,75.82417582417582,64.77272727272727
5,72.52747252747253,61.36363636363637
4,68.13186813186813,60.22727272727273
3,54.94505494505495,56.81818181818182
2,45.05494505494506,39.77272727272727
